post_id,post_url,published_date,reactions,sub_reactions,comments,shares,context
5167995326580773,https://www.facebook.com/init.kobeengineer/posts/5167995326580773,2022-06-12 06:40:36,50,"{'讚': '41', '哈': '9', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",9,0,"#純靠北工程師655
----------
奉勸各廠方的銷售不懂技術就不要一直GGYY刷存在感浪費時間
把問題留給技術回答吧"
5165149066865399,https://www.facebook.com/init.kobeengineer/posts/5165149066865399,2022-06-11 04:45:34,151,"{'哈': '80', '讚': '70', '哇': '1', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",10,0,"#純靠北工程師651
----------
請問北部有推薦的免疫專科，或是職災門診嗎？

是這樣的，團隊中有幾個夥伴，似乎對準時下班過敏。

之前只是對別人準時下班，或是別人幫忙讓他可以準時下班，會有過敏反應、不舒服。

但是最近越來越嚴重了，開始做一些奇奇怪怪的事情，阻礙自己和別人準時下班。

過敏這麼嚴重，不知道有沒有方法可以治療啊。"
5162547633792209,https://www.facebook.com/init.kobeengineer/posts/5162547633792209,2022-06-10 06:19:00,249,"{'讚': '167', '哈': '79', '加油': '1', '哇': '1', '嗚': '1', '怒': '0', '大心': '0'}",35,2,"#純靠北工程師653
----------
為什麼離職還要約談兩到三個小時... 
雖然被慰留，但最後還是選擇了離開
主管你不會覺得你在做白工嗎？"
5159903910723248,https://www.facebook.com/init.kobeengineer/posts/5159903910723248,2022-06-09 07:55:17,97,"{'讚': '56', '哈': '31', '嗚': '8', '哇': '2', '怒': '0', '大心': '0', '加油': '0'}",12,2,"#純靠北工程師64z
----------
『為什麼找不到人？想一想再告訴我！』
「人招不進來是不是跟你們的管理有問題有關呢？」『來！我們聊聊。』
「離職的人被你們炸成這樣出去沒說壞話已經很好了」
「現在名聲傳得不好...(話語未落)」『告訴我風險在哪？』
『不要拿頭撞牆，數位轉型這艘船乘風破浪，撞破牆也只是往海裡跳。』
『我可以幫你什麼？』
『你知道自己的問題在哪嗎？』"
5159657364081236,https://www.facebook.com/init.kobeengineer/posts/5159657364081236,2022-06-09 05:36:46,333,"{'讚': '214', '哈': '113', '哇': '2', '大心': '1', '加油': '1', '嗚': '1', '怒': '1'}",49,9,"#純靠北工程師650
----------
IE 絕對是比蟑螂還要噁心的東西
都已經剩不到幾天要被淘汰
他媽就這鬼島鬼使用者還扒著不放
扒著比蟑螂還噁心的東西
你他媽髒噁臭！"
5157575554289417,https://www.facebook.com/init.kobeengineer/posts/5157575554289417,2022-06-08 12:19:13,177,"{'讚': '122', '哈': '53', '哇': '2', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",22,5,"#純靠北工程師64y
----------
當面講都講不清楚了
因為疫情...
很多都開始純遠端 Work
根本強迫修煉通靈大法
這絕對是史上最大悲劇之一"
5156436664403306,https://www.facebook.com/init.kobeengineer/posts/5156436664403306,2022-06-08 02:25:38,53,"{'讚': '46', '哈': '7', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",27,2,"#純靠北工程師64u
----------
請問大家會寫blog分享嗎? 長官說如果可以的話學習寫技術blog會幫助技術成長，但如果不是我原創的做法也可以寫嗎？通常都是參考別人的文章再想辦法實作出來的也可以分享嗎?(怕被電只是照人做過的照做一次而已)"
5156411891072450,https://www.facebook.com/init.kobeengineer/posts/5156411891072450,2022-06-08 02:11:13,36,"{'讚': '35', '哈': '1', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",5,0,"#純靠北工程師64v
----------
看到 #純靠北工程師64s 的情況，也分享一下自己狀況，
我公司也是相同狀況，剛進入公司時主管還主打複製貼上大法。
等過適用期進入專案後，有可以複製貼上的一模一樣功能情況，
這時就是練功的好時機，每一次都寫完全不同邏輯跟變數的function，
等到最後真的有bug，就讓它超級麻煩改到主管接手後改不下去，
要求一樣功能一定要用模組化的方式。"
5154867687893537,https://www.facebook.com/init.kobeengineer/posts/5154867687893537,2022-06-07 12:59:17,340,"{'讚': '214', '哈': '121', '加油': '2', '嗚': '2', '哇': '1', '怒': '0', '大心': '0'}",63,16,"#純靠北工程師64m
----------
資工系的就一定要會組電腦、修電腦

現在昇華到還要會修家電、修手機喔

東西壞掉該拿去給誰修就拿去給誰修好嗎

修好應該的
修不好在那邊酸：阿不是學電腦的怎麼這都不會

你老師的學資工這麼好用是不是?"
5154447114602261,https://www.facebook.com/init.kobeengineer/posts/5154447114602261,2022-06-07 09:29:28,85,"{'讚': '59', '哈': '22', '哇': '2', '嗚': '2', '怒': '0', '大心': '0', '加油': '0'}",18,2,"#純靠北工程師64t
----------
各位有沒有碰過技術狂熱類型的同事，只要講到技術就很興奮可以連續講好久講不停，狂電新人或技術沒跟上的人(包含客戶)，但只要講到工作和技術以外的事就跟空白一樣。根據本人的說法是因為他看fb社群一堆新技術貼文，怕跟不上外面技術的進步才把時間全部都放在學習。

想知道外面大神們是不是也都是這樣追技術追很緊啊?看社群貼文好像大家都超強的。"
5154369564610016,https://www.facebook.com/init.kobeengineer/posts/5154369564610016,2022-06-07 08:47:34,252,"{'讚': '159', '哈': '91', '加油': '1', '嗚': '1', '怒': '0', '大心': '0', '哇': '0'}",35,8,"#純靠北工程師64s
----------
最近發現有好幾個同事，真的是熱愛寫程式 & 熱血。

明明是 10 個專案都用過的功能了，但就是不肯拿出來變成套件。而是在第 11 個案子的時候，去翻舊專案查語法、找答案，然後同樣的功能再寫一次。

雖然外人看起來，感覺是一個案子加了個東西，就 fork 一個版本庫出來，最後 fork 出了 11 個相似但是又各自平行的專案。

但是我想一定是非常熱愛寫程式，才能這樣熱血維持 10 幾份高度重複的程式碼，這樣一寫再寫吧。"
5154192894627683,https://www.facebook.com/init.kobeengineer/posts/5154192894627683,2022-06-07 07:12:41,196,"{'哈': '102', '讚': '93', '加油': '1', '怒': '0', '大心': '0', '哇': '0', '嗚': '0'}",26,3,"#純靠北工程師64q
----------
(和負責同一個專案的同事溝通)
:Hi A，這個頁面好像有點問題，再麻煩你協助處理一下呦，感恩。
A:我早就知道 bug 了啦，兇手不是我，我還猜你什麼時候會發現勒，哈哈。
:......

洗勒幹喔，發現 bug 不解，哈個屁＝＝"
